"BrainKey","lsmpath","imagestems","Side","UniqueID","CloneNo","Genotype","Sex","CloneName"
"SAKU7","SAKU7-1.lsm","SAKU7-1","L",3240,2,"fru Syt MARCM","M","MB"
"SAKU7","SAKU7-1.lsm","SAKU7-1","L",3334,3,"fru Syt MARCM","M","dPr-e"
"SAKU7","SAKU7-1.lsm","SAKU7-1","L",3239,1,"fru Syt MARCM","M",NA
"SAKU8","SAKU8-1.lsm","SAKU8-1","R",3332,9,"fru Syt MARCM","M",NA
"SAKU8","SAKU8-1.lsm","SAKU8-1","R",3230,2,"fru Syt MARCM","M","aDT-g"
"SAKU8","SAKU8-1.lsm","SAKU8-1","R",3229,1,"fru Syt MARCM","M","aSP-d"
"SAKU8","SAKU8-1.lsm","SAKU8-1","R",3330,7,"fru Syt MARCM","M",NA
"SAKU8","SAKU8-1.lsm","SAKU8-1","R",3333,10,"fru Syt MARCM","M",NA
"SAKU8","SAKU8-1.lsm","SAKU8-1","L",3231,3,"fru Syt MARCM","M","aDT-h"
"SAKU8","SAKU8-1.lsm","SAKU8-1","L",3232,4,"fru Syt MARCM","M","MB"
"SAKU8","SAKU8-1.lsm","SAKU8-1","L",3234,5,"fru Syt MARCM","M","aSG-a"
"SAKU8","SAKU8-1.lsm","SAKU8-1","R",3329,6,"fru Syt MARCM","M","vMs-m"
"SAKU8","SAKU8-1.lsm","SAKU8-1","R",3331,8,"fru Syt MARCM","M",NA
"SAKU9","SAKU9-1.lsm","SAKU9-1","R",3225,2,"fru Syt MARCM","M","pIP-c"
"SAKU9","SAKU9-1.lsm","SAKU9-1","L",3224,1,"fru Syt MARCM","M","pMP-c"
"SAKU9","SAKU9-1.lsm","SAKU9-1","L",3327,4,"fru Syt MARCM","M","vMs-b"
"SAKU9","SAKU9-1.lsm","SAKU9-1","R",3226,3,"fru Syt MARCM","M","MB"
"SAKV10","SAKV10-1.lsm","SAKV10-1","L",3325,1,"fru Syt MARCM","M","vMt-h"
"SAKV11","SAKV11-1.lsm","SAKV11-1","R",3322,3,"fru Syt MARCM","M","dPr-e"
"SAKV11","SAKV11-1.lsm","SAKV11-1","R",3324,5,"fru Syt MARCM","M","dMt-b"
"SAKV11","SAKV11-1.lsm","SAKV11-1","R",3323,4,"fru Syt MARCM","M","dMt-b"
"SAKV11","SAKV11-1.lsm","SAKV11-1","L",3219,2,"fru Syt MARCM","M","MB"
"SAKV11","SAKV11-1.lsm","SAKV11-1","L",3218,1,"fru Syt MARCM","M","pIP-c"
"SAKV13","SAKV13-1.lsm","SAKV13-1","L",3321,1,"fru Syt MARCM","M","vPr-b"
"SAKV17","SAKV17-1.lsm","SAKV17-1","R",3320,3,"fru Syt MARCM","M","dPr-d"
"SAKV17","SAKV17-1.lsm","SAKV17-1","L",3319,2,"fru Syt MARCM","M","vMt-g"
"SAKV17","SAKV17-1.lsm","SAKV17-1","L",3318,1,"fru Syt MARCM","M","SN-h"
"SAKV18","SAKV18-1.lsm","SAKV18-1","R",3217,3,"fru Syt MARCM","M","MB"
"SAKV18","SAKV18-1.lsm","SAKV18-1","L",3211,1,"fru Syt MARCM","M","pMP-c"
"SAKV18","SAKV18-1.lsm","SAKV18-1","R",3317,5,"fru Syt MARCM","M","dAb-a"
"SAKV18","SAKV18-1.lsm","SAKV18-1","L",3215,2,"fru Syt MARCM","M","MB"
"SAKV18","SAKV18-1.lsm","SAKV18-1","L",3316,4,"fru Syt MARCM","M","vMt-d"
"SAKV3","SAKV3-1.lsm","SAKV3-1","R",3210,2,"fru Syt MARCM","M","MB"
"SAKV3","SAKV3-1.lsm","SAKV3-1","L",3209,1,"fru Syt MARCM","M","aSP-e"
"SAKV4","SAKV4-1.lsm","SAKV4-1","R",3315,4,"fru Syt MARCM","M","vMs-l"
"SAKV4","SAKV4-1.lsm","SAKV4-1","L",3206,2,"fru Syt MARCM","M","MB"
"SAKV4","SAKV4-1.lsm","SAKV4-1","R",3204,1,"fru Syt MARCM","M","aIP-i"
"SAKV4","SAKV4-1.lsm","SAKV4-1","L",3314,3,"fru Syt MARCM","M",NA
"SAKV5","SAKV5-1.lsm","SAKV5-1","L",3311,2,"fru Syt MARCM","M","vMt-i"
"SAKV5","SAKV5-1.lsm","SAKV5-1","L",3313,4,"fru Syt MARCM","M","vMs-c"
"SAKV5","SAKV5-1.lsm","SAKV5-1","L",3312,3,"fru Syt MARCM","M","dPr-e"
"SAKV5","SAKV5-1.lsm","SAKV5-1","R",3490,5,"fru Syt MARCM","M","vMs-d"
"SAKV8","SAKV8-1.lsm","SAKV8-1","L",3309,6,"fru Syt MARCM","M","dMs-c"
"SAKV8","SAKV8-1.lsm","SAKV8-1","R",3196,2,"fru Syt MARCM","M","pMP-e"
"SAKV8","SAKV8-1.lsm","SAKV8-1","R",3198,3,"fru Syt MARCM","M","aSP-k"
"SAKV8","SAKV8-1.lsm","SAKV8-1","L",3200,4,"fru Syt MARCM","M","MB"
"SAKV8","SAKV8-1.lsm","SAKV8-1","L",3195,1,"fru Syt MARCM","M","pMP-a"
"SAKV8","SAKV8-1.lsm","SAKV8-1","L",3308,5,"fru Syt MARCM","M","dMt-b"
"SAKW1","SAKW1-1.lsm","SAKW1-1","R",3191,2,"fru Syt MARCM","M","MB"
"SAKW1","SAKW1-1.lsm","SAKW1-1","R",3190,1,"fru Syt MARCM","M","aSP-m"
"SAKW1","SAKW1-1.lsm","SAKW1-1","R",3192,3,"fru Syt MARCM","M",NA
"SAKW10","SAKW10-1.lsm","SAKW10-1","L",3307,1,"fru Syt MARCM","M",NA
"SAKW11","SAKW11-1.lsm","SAKW11-1","R",3306,1,"fru Syt MARCM","M","vMs-k"
"SAKW12","SAKW12-1.lsm","SAKW12-1","R",3189,1,"fru Syt MARCM","M","aDT-d"
"SAKW13","SAKW13-1.lsm","SAKW13-1","L",3181,1,"fru Syt MARCM","M","aDT-e"
"SAKW13","SAKW13-1.lsm","SAKW13-1","L",3182,2,"fru Syt MARCM","M","aIP-b"
"SAKW14","SAKW14-1.lsm","SAKW14-1","R",3172,1,"fru Syt MARCM","M","aSP-d"
"SAKW14","SAKW14-1.lsm","SAKW14-1","R",3178,3,"fru Syt MARCM","M",NA
"SAKW14","SAKW14-1.lsm","SAKW14-1","R",3304,4,"fru Syt MARCM","M","vPr-c"
"SAKW14","SAKW14-1.lsm","SAKW14-1","R",3175,2,"fru Syt MARCM","M","aSP-b"
"SAKW14","SAKW14-1.lsm","SAKW14-1","L",3305,5,"fru Syt MARCM","M","vMs-m"
"SAKW15","SAKW15-1.lsm","SAKW15-1","L",3169,1,"fru Syt MARCM","M","MB"
"SAKW15","SAKW15-1.lsm","SAKW15-1","R",3171,3,"fru Syt MARCM","M","pSG-b"
"SAKW15","SAKW15-1.lsm","SAKW15-1","R",3303,7,"fru Syt MARCM","M",NA
"SAKW15","SAKW15-1.lsm","SAKW15-1","L",3300,4,"fru Syt MARCM","M","vMt-b"
"SAKW15","SAKW15-1.lsm","SAKW15-1","R",3170,2,"fru Syt MARCM","M","MB"
