Filename,Genotype,Sex,RegistrationFile,FullRegistrationPath,Quality,Sections,PixelSize,Step,Lens
"SAGF16-1","fru MARCM","F","SAGF16-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/ClusterRegsVNCs/Registration/warp/VNCIS1_SAGF16-1_01_warp_m0g80c8e1e-1x26r4.list","3","145",".415132910481919","1","LD LCI Plan-Apochromat 25x/0.8 Imm Korr DIC M27"
"SAGF6-1","fru MARCM","F","SAGF6-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/ClusterRegsVNCs/Registration/warp/VNCIS1_SAGF6-1_01_warp_m0g80c8e1e-1x26r4.list","3","148",".415132910481919","1","LD LCI Plan-Apochromat 25x/0.8 Imm Korr DIC M27"
"SAGF9-1","fru MARCM","F","SAGF9-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/ClusterRegsVNCs/Registration/warp/VNCIS1_SAGF9-1_01_warp_m0g80c8e1e-1x26r4.list","3","152",".415132910481919","1","LD LCI Plan-Apochromat 25x/0.8 Imm Korr DIC M27"
"SAGM31-1","fru MARCM","M","SAGM31-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/ClusterRegsVNCs/Registration/warp/VNCIS1_SAGM31-1_01_warp_m0g80c8e1e-1x26r4.list","4","147",".415132910481919","1","LD LCI Plan-Apochromat 25x/0.8 Imm Korr DIC M27"
"SAGM34-1","fru MARCM","M","SAGM34-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/ClusterRegsVNCs/Registration/warp/VNCIS1_SAGM34-1_01_warp_m0g80c8e1e-1x26r4.list","3","145",".415132910481919","1","LD LCI Plan-Apochromat 25x/0.8 Imm Korr DIC M27"
"SAGM35-1","fru MARCM","M","SAGM35-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/ClusterRegsVNCs/Registration/warp/VNCIS1_SAGM35-1_01_warp_m0g80c8e1e-1x26r4.list","3","145",".415132910481919","1","LD LCI Plan-Apochromat 25x/0.8 Imm Korr DIC M27"
"SAGM36-1","fru MARCM","M","SAGM36-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/ClusterRegsVNCs/Registration/warp/VNCIS1_SAGM36-1_01_warp_m0g80c8e1e-1x26r4.list","4","146",".415132910481919","1","LD LCI Plan-Apochromat 25x/0.8 Imm Korr DIC M27"
"SAGM37-1","fru MARCM","M","SAGM37-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/ClusterRegsVNCs/Registration/warp/VNCIS1_SAGM37-1_01_warp_m0g80c8e1e-1x26r4.list","4","147",".415132910481919","1","LD LCI Plan-Apochromat 25x/0.8 Imm Korr DIC M27"
"SAGM38-1","fru MARCM","M","SAGM38-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/ClusterRegsVNCs/Registration/warp/VNCIS1_SAGM38-1_01_warp_m0g80c8e1e-1x26r4.list","4","139",".415132910481919","1","LD LCI Plan-Apochromat 25x/0.8 Imm Korr DIC M27"
"SAGM39-2","fru MARCM","M","SAGM39-2","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/ClusterRegsVNCs/Registration/warp/VNCIS1_SAGM39-2_01_warp_m0g80c8e1e-1x26r4.list","3","135",".415132910481919","1","LD LCI Plan-Apochromat 25x/0.8 Imm Korr DIC M27"
