Filename,Genotype,Sex,RegistrationFile,FullRegistrationPath,Quality,Sections,PixelSize,Step,Lens
"SAGP35-1","fru MARCM","F","SAGP35-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGP35-1_01_warp_m0g80c8e1e-1x26r4.list","3","174",".395364676649447","1","EC Plan-Neofluar 40x/1.30 Oil DIC M27"
"SAGP38-1","fru MARCM","F","SAGP38-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGP38-1_01_warp_m0g80c8e1e-1x26r4.list","3","185",".395364676649447","1","EC Plan-Neofluar 40x/1.30 Oil DIC M27"
"SAGP39-1","fru MARCM","F","SAGP39-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGP39-1_01_warp_m0g80c8e1e-1x26r4.list","5","176",".395364676649447","1","EC Plan-Neofluar 40x/1.30 Oil DIC M27"
"SAGP42-1","fru MARCM","F","SAGP42-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGP42-1_01_warp_m0g80c8e1e-1x26r4.list","3","180",".395364676649447","1","EC Plan-Neofluar 40x/1.30 Oil DIC M27"
"SAGP43-1","fru MARCM","F","SAGP43-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGP43-1_01_warp_m0g80c8e1e-1x26r4.list","3","173",".395364676649447","1","EC Plan-Neofluar 40x/1.30 Oil DIC M27"
"SAGP45-1","fru MARCM","F","SAGP45-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGP45-1_01_warp_m0g80c8e1e-1x26r4.list","3","176",".461258789424355","1","EC Plan-Neofluar 40x/1.30 Oil DIC M27"
"SAGP46-1","fru MARCM","F","SAGP46-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGP46-1_01_warp_m0g80c8e1e-1x26r4.list","4","176",".395364676649447","1","EC Plan-Neofluar 40x/1.30 Oil DIC M27"
"SAGP49-1","fru MARCM","F","SAGP49-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGP49-1_01_warp_m0g80c8e1e-1x26r4.list","3","173",".395364676649447","1","EC Plan-Neofluar 40x/1.30 Oil DIC M27"
"SAGP52-1","fru MARCM","F","SAGP52-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGP52-1_01_warp_m0g80c8e1e-1x26r4.list","5","177",".395364676649447","1","EC Plan-Neofluar 40x/1.30 Oil DIC M27"
"SAGP55-1","fru MARCM","F","SAGP55-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGP55-1_01_warp_m0g80c8e1e-1x26r4.list","3","170",".395364676649447","1","EC Plan-Neofluar 40x/1.30 Oil DIC M27"
"SAGP58-1","fru MARCM","F","SAGP58-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGP58-1_01_warp_m0g80c8e1e-1x26r4.list","4","173",".461258789424355","1","EC Plan-Neofluar 40x/1.30 Oil DIC M27"
"SAGP59-1","fru MARCM","F","SAGP59-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGP59-1_01_warp_m0g80c8e1e-1x26r4.list","3","171",".395364676649447","1","EC Plan-Neofluar 40x/1.30 Oil DIC M27"
"SAGP6-1","fru MARCM","F","SAGP6-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGP6-1_01_warp_m0g80c8e1e-1x26r4.list","4","167",".395364676649447","1","EC Plan-Neofluar 40x/1.30 Oil DIC M27"
"SAGP60-1","fru MARCM","F","SAGP60-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGP60-1_01_warp_m0g80c8e1e-1x26r4.list","3","173",".395364676649447","1","EC Plan-Neofluar 40x/1.30 Oil DIC M27"
"SAGP63-1","fru MARCM","F","SAGP63-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGP63-1_01_warp_m0g80c8e1e-1x26r4.list","2","178",".395364676649447","1","EC Plan-Neofluar 40x/1.30 Oil DIC M27"
"SAGP7-1","fru MARCM","F","SAGP7-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGP7-1_01_warp_m0g80c8e1e-1x26r4.list","4","165",".395364676649447","1","EC Plan-Neofluar 40x/1.30 Oil DIC M27"
"SAGQ1-1","fru MARCM","F","SAGQ1-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGQ1-1_01_warp_m0g80c8e1e-1x26r4.list","4","180",".395364676649447","1","EC Plan-Neofluar 40x/1.30 Oil DIC M27"
"SAGQ4-1","fru MARCM","F","SAGQ4-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGQ4-1_01_warp_m0g80c8e1e-1x26r4.list","3","175",".395364676649447","1","EC Plan-Neofluar 40x/1.30 Oil DIC M27"
